text,label
الفقر ليس عيبا و الله الرزاق♥️,0
@user صح عيدك ينعاد عليك وعلى أهلك بالصحة والعافية وتقبل الله منا ومنكم صالح الأعمال \nحسبتها حاجة اخرى\nمن وهران ،اي ارواحي مرحبا بيك,0
"دعاء الزلازل
اللهم إنك أنت الله لا اله إلا أنت أنت الغني ونحن الفقراء نحن عبيدك بنو عبيدك نواصينا بيدك ماض ٍ فينا حكمك عدل فينا قضاؤك لا ملجا ولا منجا منك إلا إليك اللهم ادفع عنا البلا والبراكين والزلازل والمحن وجميع الفتن ما ظهر منها وما بطن اللهم اني استودعك جميع المسلمين والمسلمات في بلاد المسلمين.",0
محتاجة لافيسال,0
ما ينكر أصلو غير الكلب,1
"لعنكم الله 
اتحدث عنك فقط .....امثالك ايضا",1
ههههههههههههههههههههههههههههههههه آمون تاعهم 😂😂😂😂😂,1
بسبب بوصبع وصلنا للدرجة على جال كروشهم دخلونا في الحيط يستاهلو الكف لدوه,1
ليس لدينا الطباخة 5 حرائق,0
100  وبزاف,0
احنا الجزايريين قاعدين غير نكسرو بعضانا غير تشراك الفم,1
لاريني تاج راسك 💛,0
حيا الله احرار,0
"شركة نايك و لاكوست العالميتان  اوقفوا مبيعاتهم بعد رؤية منشوركم 
و شكرا",0
تسما نتوما ڨاااع مغتاصبين ,1
هاذي مشاركة سياسية او نشاط سياسي من مظاهرها المقاطعة او المشاركة يا دواااب,1
راكم حراير  يا واحد الخنازير,1
"ههههههه
ابحثوا في كوكب الارض أجمع...
هههههههه هل رأيتم في أي معهد فوق الارض يتم تسليم شهادة هكذا....
والاجمل المتعلم لم ينطق ولو بكلمة واحدة...هههههههه... قالوا ميغسي..",0
صحفي تاع خرطي قالك ناس تدي هدرة ههههه وهوما تتفرج دقيقة برك تلقى تمنشير داير حالة لا تحليل لا شكوبي وزيد يرد يحيس الله وجوه الرخص,1
بو شاريطة انقص الله من عمره و اطال في عمر أمي,1
بخخخخخخخ تفففف ، فيه شبايه الخنزير يا سبي,1
روحي توبي لربي دنيا مبقاتش  او ركي طفلة احشمي على روحك او احشمي على لجابوك,1
#بالفیدیو : الیکم قصة اعتقال ربراب  هشام عبود يكشف الحقيقة الكاملة حصريا سبب اعتقال ربراب من طرف العصابة  بارتاجي لتصل للحشرات الاکترونیة قالك إعتقلوه بسبب تضخیم الفواتیر هادي احکوها لذباب و الحشرات الاکترونیة,1
و للاسف تعرضت شاشته للكسر,0
بمستوى ابتدائي هههه,1
بسكرة ما عندكمش نقاط البيع فيها,0
ربي يحفظك يا استاذ و يرحم امك,1
لا أولدي هادا أنا كتدخلني ختك بش نديراها زوج 2,1
رخيص علاش يضرب راجل كبير حتي وكان تمثيل مايديرش هاكا و يزيد يقولو بلع فمك 😡😡😡😡,1
روح ياوحد الخلاط,1
هدو مرخص مزوج بيكم ربراب القنون فوق الجميع,1
يا خويا هاذو احرار متقولش عليهم كعب قول على جماعة الفيمينيست والارض المسطحة وناسا تخدع فالعالم هاذوك هوما الكعب تع صح,1
انا تاني والله ماعرفت,0
التصعيد باضافة السبت,0
mechi ghir l 9bayli li 9ata3 tala3 nivea,1
مبروك  عليك خويا امير او يحفظك انشاء الله,0
احبس ولى روح نيك امك القحبة,1
انتوما كي لكلاب 🐕 ارخاس تحب تديرو الحرب الأهلية في بلدنا الحبيب,1
@user والله نعزك على هادي غاضتني,0
نتا ليزوم خخخخخخ 💚🖤,0
الف مبروك العاقية لنا,0
جنسية بريطانيا,0
مهم هذاك التصميم لوكان تبحث تلقي كاش صورة تع المرحوم eazy-E لابسو في 1990,0
6 كيلو,0
وجه الرخس,1
طخخخخخ قستها,0
نورمالمو حنا امازيغ ولكن هنالك بعض منهم زوافة.  و يشيتو لفرنسا و البعض الاخخر لي هوما حنا ما حناش زوافة و ماناش عرب لان العربيين اتفقو و قالو اننا لسنا عرب 😕,1
هاااا راك كبير,1
خلعتني لو نكون أنحدر من سلالة الإسكندر الأكبر، علاه يعني و ليت نشك في كل حاجة,0
حياك الله أستاذ العربي زيتوت,0
اياو ڨاع تكدبو واش هدا,1
نكمك قحبة انت وماشي متربية روح نصلي كندادك تقول راجل,1
as Li Ytay7o 3lah Min Tza39o 3la Others Normal Kima zizou Lite w Ga3 Normies Tghaw,0
الله المستعان,0
"جزائري باش زعما يدير دراهم ميىروحش يخدم ولا
 والو يروح يتزوج و يجيب كوطا دراري كاش ما واحد فيهم يخرجو من فقر لي فيه 🤣🤣 و من بعد يجي يشكي كي عزبة",0
"قبايل شواكر و خلاص🔥
بوصبع🌐",0
نتو باينين ماشي تاع الوسط   و تغيرو بزاف على صحاب الوسط ,0
وطريقة العمل,0
ما تخافيش راهو يسميكم بلونطوات القنصلية,1
لو كان مانعرفكش يا زكي نحسبك مدفع,1
"Ki amir ki zitout 
Ki hamou ki tiiiiz oumo",1
الله لا تربحك يا سلال و لا تربح اللي راه يسوق فيكم يا بهايم بخستو بينا بهدلتو بينا ربي ينتقم منكم في الدنيا و في الاخرة و الله ماني سامح لا ليهم ولا اي واحد سرق لينا حقنا و الله ماني سامح و خلي يعيش بيها ربي ينتقم منهم وجوه الشر و البخس كلاب الاستعمار  و نفايات الخونة الله لا تربحكم,1
عاهرة من اللخر بعد و راهي تشجع فالرذيلة و أي وحدة تتصور كيفها فالتيك توك راهي عاهرة و ماعندهاش رجال في دارها,1
واش ربراب راك مليح فرار ؟ الكونكسيون مليحا فالسيلونة ؟ 🤔😂,0
يسر برنامج السراج للقرءان الكريم التلفزيوني العدد الثالث الذي يبث في شهر رمضان على قنوات .الهقار. الاجواء. الانداكس. التديفي .الباهية ان تدعوكم للمساهمة في انجاحه بماترونه مناسبا لكم * المشرف العام لخضر بومرزوق,0
انتم خرجوا ربراب وحنا وناس مستغانم نخرجو كونيناف,0
تحيا القايد صااااااااالح وليسقط ربراب,1
Yakhi tarma ya kh,1
Rouh nik mok,1
كلب رخيص يموت مدحورا أن شاء الله,1
ههههه ياو العكس الفقراء هوما لي يحتاجهم مجتمع,0
هذا الشاب الهامل ههههه,1
بصحتهم التوانسة خاوتنا.,0
السلام عليكم انا شريت غسالة كونودر معرفتش كيتمشي,0
ربي يحفظك ويسترك هكذا تزيد تركعهم كثر وتعريهم قاع,1
لله,0
قصته أنه يريد لمس ترمتك لاغير ذالك,1
من فظلكم رقم هاتف براند وهران,0
"
ماشاء الله
بالتوفيق
Et bonne continuatio",0
ما تحرشوش بلبنات يتحرشو بولد يا وحد الكذاب,1
حمار,1
حيا الله الاحرار,0
رخص كبير عايشتو مرت خالد معاه هي وخوها يعني كينين نسا مذلولين مع رجلتهم هكا بعد,1
المقاطعة ماراهيش راح تصرا بين لحظة وضحاها مش كي كله التاغ معنتها خلاص نجحت لا المقطاعة تمر عبر:,0
و لي سيبورتيو المناطق النائية ماشي كعب😂,1
boudawi lizohmm,0
"#مينو""",0
حمار يقود مجموعة من الحمير  وهو لايفرق بين فربت اوملات .والبيض,1
تحيا صنع بلادي,0
انا رأي في قنات النهار انها قنات منحازة وشياتة الكل يعطينا رأيو عليها,1
زيدلها تتفرج على مونيا و ما شابها .. ديغااااج,1
الاحرار راهم في الديار وارض ابائهم ، والخونة راهم باين وين راهم,1
احرار   تاع قاعو  مبردعين,1
Vive usma mchi ta3t,1
مباركاً على سكان بني فرح وليظلوا قدوة طيبة لكل مواطن للمساهمة في ما ينفع الناس,0
"فريت omelette بالبيض
على وزن château d'eau تاع الماء",0
الله يرحمها  لعقوبة ليك,0
اينوكس شحال سومتو عندكم,0
Dok nta thdr aela usma? HytQ gae nta mor l’écran ylk3ba 🤷🏻‍♂️,1
Nik Mathom Ga3 La3rab Nik Swa ta3 Matkoum ,1
الفرشيطة 😂😂😂😂😂😂,0
فكاهة 🙃,0
هاذوا راهم ركنوا وساندوا كبرنات فرنسا بعد الانقلاب ... قول تعالى ..ولاتركنوا ( تساندوا نعينوا ...) إلى الذين ظلموا فتمسكم النار....سورة هود..وبعد ان مستهم نار العصابات..يبقى ان يتوجهوا ويرجعوا  الى الله أولا بتوبة نصوحة قبل الشعب..,0
بابابابابابا. هذى مخ 😂,0
لابوبال بصوت هواري لايت ✅😂🚮,1
شهادة عميل معتمد ماشي إعلامي انت خرجت من الدراسة الخامسة حيوا_ني وليت إعلامي فرخ,1
المقاطعة هي حل عقابي يستجيب له التاجر الذي يحترم مستهلك بضاعته,0
الله  المستعان,0
صاحب صفحة أنت عنصري,1
بلاك الڨاز ماراهش يخرج,0
الله وحده,0
و انتا معيتش,0
لي خصو كلب مغربي يجي يدي واحد من التعليقات (وشكرا),1
الكتال مركي مليحه ولا .لالا,0
اصلها  اندلسي,0
واش راهو صاري,0
تبقى الاسود اسود والكلاب كلاب (الله يرحمك يمعذبهم حتى وانت في القبر السيد المغفور له بإذنه تعالى الڨايد صالح),1
هههههههههه هههههههههه هههههههههه علاه آومليط خبز مثلا تفوووه عليك يا 106,1
الشعب كامل سينتحر.,0
انتا تحب ربراب ربي يسهال عليك متفتيش علينى يستهل السجن,1
W rifka watch n3ama,0
زعم  البوليس  الاسرائيلى ..دار  هاذ  الشي  فى  الفلسطينيين ...؟,0
مبروووووك تستاهل خويا,0
الرئيس وحيد لفات سلال في تهريج,1
Mais cette petasse est une agent des mokhabarat,1
يا بوصبع,1
قولولي يا خاوتي عباد كيما هذم وش مزال فيهم يليق,1
السلام عليكم ورحمه الله وبركاته كيفكم كيف احوالكم حسبنا الله ونعم الوكيل,0
 frère la3kouba a d'autres succès nchallah,0
اصل الحريرة وهران,0
عمرك طويل ههه,0
تا كعبا,1
تع ملخر مانيش قبايلي قاع علابالنا بلي الدولة تخاف مالقبايل ,0
لوعرف الشعب ان هناك استقلالية العدالة سوف لن يتحرك ابدا لمساندة ربراب والواقع ان إحترام حقوق الإنسان يقتضي ضمان محاكمة عادلة ومنصفة لكل المتورطين بما فيهم  حداد واويحي وغيرهم,0
منشان تقول سلام عليكم ويردولها وعليكوم السلام ,0
إنها  العصابة الجديدة,0
كان مجيتش نعرفك يابلوط بلادي نقوال عليك بنان  واش ركم حابين تخلطوا بلاد ولا واش هابين تبيعوا لابلاد نورمال وسي زيطواط شرتكم فرنسا بلابصل,1
حتى لودو ناكمو صماط ,1
هد الكلب لي راه ينبح شكون مولاه يربطوولاننن,1
Mazal mafrat machi officiel,0
N9isak Bali tajar7ak 😂😂 yaww aniiiik yammmmaaak aa 7acha yamak dsl kho mais tastahlo bin zoj nik yamakom 😂😂😁 b zit aziton hhhhhh ntawa3 la9bayal hh,1
اللهم امين يارب العالمين ,0
الزلزال في بجاية سببه تبون,1
نعل طيز ماتكم كي نتا كي سماعيل ديالك نكتو لبلاد سوف نلتقي في العدالة الحقانية كل قطرة دم سالت تخلصوها.,1
نيك نعطيزك,1
ابيض,0
امين يارب العالمين,0
